prompt,strategy,score
0,affirm_method,0.0072
0,concrete_say,0.5845
0,multispan_list,0.0050
0,stepwise_begin,0.0135
1,affirm_method,0.7463
1,concrete_say,0.5996
1,multispan_list,0.8137
1,stepwise_begin,0.6500
2,affirm_method,0.4183
2,concrete_say,0.6760
2,multispan_list,0.0031
2,stepwise_begin,0.8857
3,affirm_method,0.5995
3,concrete_say,0.8450
3,multispan_list,0.0300
3,stepwise_begin,0.5117
4,affirm_method,0.6658
4,concrete_say,0.6196
4,multispan_list,0.7760
4,stepwise_begin,0.7303
5,affirm_method,0.4629
5,concrete_say,0.8234
5,multispan_list,0.3860
5,stepwise_begin,0.8023
6,affirm_method,0.9402
6,concrete_say,0.8993
6,multispan_list,0.4302
6,stepwise_begin,0.8960
7,affirm_method,0.5520
7,concrete_say,0.4838
7,multispan_list,0.8412
7,stepwise_begin,0.5870
8,affirm_method,0.1385
8,concrete_say,0.7994
8,multispan_list,0.0010
8,stepwise_begin,0.6110
9,affirm_method,0.0013
9,concrete_say,0.0015
9,multispan_list,0.0010
9,stepwise_begin,0.0011
10,affirm_method,0.2512
10,concrete_say,0.0773
10,multispan_list,0.1909
10,stepwise_begin,0.0828
11,affirm_method,0.1798
11,concrete_say,0.0585
11,multispan_list,0.0028
11,stepwise_begin,0.0659
12,affirm_method,0.8002
12,concrete_say,0.8641
12,multispan_list,0.0025
12,stepwise_begin,0.0452
13,affirm_method,0.1748
13,concrete_say,0.0709
13,multispan_list,0.3208
13,stepwise_begin,0.0013
14,affirm_method,0.3708
14,concrete_say,0.2561
14,multispan_list,0.4910
14,stepwise_begin,0.3545
15,affirm_method,0.0127
15,concrete_say,0.0946
15,multispan_list,0.0670
15,stepwise_begin,0.0181
16,affirm_method,0.0378
16,concrete_say,0.3241
16,multispan_list,0.3698
16,stepwise_begin,0.3544
17,affirm_method,0.5706
17,concrete_say,0.5803
17,multispan_list,0.0202
17,stepwise_begin,0.8087
18,affirm_method,0.0014
18,concrete_say,0.0057
18,multispan_list,0.0009
18,stepwise_begin,0.0021
19,affirm_method,0.8394
19,concrete_say,0.8939
19,multispan_list,0.0142
19,stepwise_begin,0.9486
